,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_rgft,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining,topology_dist_between,tbl_dist_between,res_tree_edge_length
4,3,N5,N6,0.090,-1754.092759,-1751.80239,-2.29036899999982779264,0.00334179,0.160491,0.25070348,0.043399,0.01349512,0.00844103,4.0,0.01726444,0.00862562
4,4,N5,N7,0.097,-1754.092874,-1751.80239,-2.29048399999987850606,0.012024,0.160491,0.26419784,0.012024,7.6e-07,7.5e-07,4.0,0.01380667,0.00862562
4,5,N5,N10,0.093,-1760.613084,-1751.80239,-8.81069400000001223816,5.4e-07,0.160491,0.21915504,0.043399,0.04504356,0.043399,5.0,0.01726464,0.00862562
4,6,N5,N11,0.094,-1760.613192,-1751.80239,-8.81080199999996693805,0.00844103,0.160491,0.2641986,0.00844103,0.0,0.0,5.0,0.02060623,0.00862562
4,7,N5,Sp018,0.101,-1754.092889,-1751.80239,-2.29049899999995432154,0.00761997,0.160491,0.0076199700000000314,0.00761997,0.25657863,0.160491,5.0,0.02142664,0.00862562
4,8,N5,N13,0.097,-1754.09308,-1751.80239,-2.29069000000004052708,1e-08,0.160491,0.2641986,7.5e-07,0.0,0.0,5.0,0.02583067,0.00862562
4,9,N5,N16,0.100,-1763.119914,-1751.80239,-11.31752400000004854519,1e-08,0.160491,0.2641986,0.00148433,0.0,0.0,6.0,0.01726472,0.00862562
4,10,N5,N17,0.098,-1763.119838,-1751.80239,-11.31744800000001305307,1e-08,0.160491,0.2641986,0.043399,0.0,0.0,6.0,0.01726518,0.00862562
4,11,N5,N18,0.097,-1766.050732,-1751.80239,-14.24834199999986594776,1e-08,0.160491,0.2641986,1e-08,0.0,0.0,6.0,0.0256603,0.00862562
4,12,N5,Sp013,0.100,-1767.694266,-1751.80239,-15.89187599999991107325,0.00844103,0.160491,0.00844102999999996,0.00844103,0.25575757000000005,0.160491,6.0,0.02904726,0.00862562
4,13,N5,Sp017,0.101,-1755.405214,-1751.80239,-3.60282399999982771988,7.5e-07,0.160491,7.499999999938112e-07,7.5e-07,0.26419785,0.160491,6.0,0.02583142,0.00862562
4,14,N5,Sp014,0.105,-1755.405288,-1751.80239,-3.60289799999986826151,1e-08,0.160491,9.999999994736442e-09,1e-08,0.26419859,0.160491,6.0,0.02583068,0.00862562
4,15,N5,N26,0.098,-1763.119909,-1751.80239,-11.31751899999994748214,0.00148433,0.160491,0.2641986,0.00148433,0.0,0.0,7.0,0.0172648,0.00862562
4,16,N5,Sp008,0.093,-1763.11991,-1751.80239,-11.31751999999983127054,1e-08,0.160491,9.999999994736442e-09,1e-08,0.26419859,0.160491,7.0,0.01726473,0.00862562
