,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
3,2,N4,N5,0.091,-1751.813484,-1751.80239,-0.01109399999995730468,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,3,N4,N8,0.089,-1761.759376,-1751.80239,-9.95698599999991529330,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,4,N4,Sp009,0.099,-1761.759165,-1751.80239,-9.95677499999987958290,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,5,N4,N14,0.092,-1764.133776,-1751.80239,-12.33138599999983853195,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,6,N4,N15,0.098,-1764.133776,-1751.80239,-12.33138599999983853195,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,7,N4,Sp011,0.089,-1764.13381,-1751.80239,-12.33141999999998006388,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,8,N4,Sp004,0.097,-1764.133811,-1751.80239,-12.33142099999986385228,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,9,N4,N24,0.090,-1764.133803,-1751.80239,-12.33141299999988405034,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,10,N4,Sp005,0.092,-1764.133803,-1751.80239,-12.33141299999988405034,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,11,N4,Sp010,0.095,-1764.133829,-1751.80239,-12.33143900000004578033,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,12,N4,Sp003,0.096,-1764.13383,-1751.80239,-12.33143999999992956873,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
4,0,N5,Sp020,0.095,-1751.714271,-1751.80239,0.08811900000000605360,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,1,N5,Sp015,0.099,-1758.450621,-1751.80239,-6.64823099999989608477,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,2,N5,N4,0.103,-1751.814667,-1751.80239,-0.01227700000004006142,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,3,N5,N6,0.090,-1754.092759,-1751.80239,-2.29036899999982779264,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,4,N5,N7,0.097,-1754.092874,-1751.80239,-2.29048399999987850606,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,5,N5,N10,0.093,-1760.613084,-1751.80239,-8.81069400000001223816,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,6,N5,N11,0.094,-1760.613192,-1751.80239,-8.81080199999996693805,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,7,N5,Sp018,0.101,-1754.092889,-1751.80239,-2.29049899999995432154,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,8,N5,N13,0.097,-1754.09308,-1751.80239,-2.29069000000004052708,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,9,N5,N16,0.100,-1763.119914,-1751.80239,-11.31752400000004854519,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,10,N5,N17,0.098,-1763.119838,-1751.80239,-11.31744800000001305307,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,11,N5,N18,0.097,-1766.050732,-1751.80239,-14.24834199999986594776,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,12,N5,Sp013,0.100,-1767.694266,-1751.80239,-15.89187599999991107325,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,13,N5,Sp017,0.101,-1755.405214,-1751.80239,-3.60282399999982771988,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,14,N5,Sp014,0.105,-1755.405288,-1751.80239,-3.60289799999986826151,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,15,N5,N26,0.098,-1763.119909,-1751.80239,-11.31751899999994748214,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,16,N5,Sp008,0.093,-1763.11991,-1751.80239,-11.31751999999983127054,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,17,N5,N28,0.092,-1763.120236,-1751.80239,-11.31784599999991769437,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,18,N5,Sp002,0.102,-1763.120313,-1751.80239,-11.31792299999983697489,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,19,N5,Sp019,0.094,-1777.833325,-1751.80239,-26.03093499999999949068,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,20,N5,Sp016,0.095,-1777.833325,-1751.80239,-26.03093499999999949068,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,21,N5,Sp007,0.093,-1763.119911,-1751.80239,-11.31752099999994243262,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,22,N5,Sp006,0.105,-1763.119903,-1751.80239,-11.31751299999996263068,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,23,N5,N36,0.098,-1763.120634,-1751.80239,-11.31824400000004970934,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,24,N5,Sp000,0.097,-1763.120704,-1751.80239,-11.31831399999987297633,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
